timestamp,price,equity,target_position,nautilus_dir,target_oz,notional,effective_leverage
2023-04-03 00:00:00+00:00,1962.275,10000000.0,-1,0,-4841,9499373.275,0.9499373275
2023-04-03 01:00:00+00:00,1960.235,10000000.0,-1,0,-4846,9499298.809999999,0.9499298809999999
2023-04-03 02:00:00+00:00,1952.455,10000000.0,-1,0,-4865,9498693.575,0.9498693574999999
2023-04-03 03:00:00+00:00,1951.735,10000000.0,-1,0,-4867,9499094.245,0.9499094244999999
2023-04-03 04:00:00+00:00,1952.485,10000000.0,-1,0,-4865,9498839.525,0.9498839525
2023-04-03 05:00:00+00:00,1953.725,10000000.0,-1,0,-4862,9499010.95,0.949901095
2023-04-03 06:00:00+00:00,1954.645,10000000.0,-1,0,-4860,9499574.7,0.94995747
2023-04-03 07:00:00+00:00,1961.735,9998385.16187676,-1,-1,-4841,9496759.135,0.9498292955557033
2023-04-03 08:00:00+00:00,1965.615,9998385.16187676,-1,-1,-4832,9497851.68,0.949938567701386
2023-04-03 09:00:00+00:00,1966.045,9998385.16187676,-1,-1,-4831,9497963.395,0.9499497410056937
2023-04-03 10:00:00+00:00,1972.345,9998385.16187676,-1,-1,-4815,9496841.175,0.9498375008807306
2023-04-03 11:00:00+00:00,1978.508,9998385.16187676,-1,-1,-4800,9496838.4,0.9498372233359115
2023-04-03 12:00:00+00:00,1978.888,9998385.16187676,-1,-1,-4799,9496683.512,0.9498217320343171
2023-04-03 13:00:00+00:00,1975.874,9998385.16187676,-1,-1,-4807,9498026.318,0.9499560343219624
2023-04-03 14:00:00+00:00,1985.918,9998385.16187676,-1,-1,-4782,9496659.876,0.9498193680525723
2023-04-03 15:00:00+00:00,1987.848,9998385.16187676,-1,-1,-4778,9497937.743999999,0.9499471754914046
2023-04-03 16:00:00+00:00,1986.898,9998385.16187676,-1,-1,-4780,9497372.44,0.9498906359611858
2023-04-03 17:00:00+00:00,1984.908,9998385.16187676,-1,-1,-4785,9497784.78,0.9499318766208847
2023-04-03 18:00:00+00:00,1982.275,9998385.16187676,-1,-1,-4791,9497079.525,0.9498613397303188
2023-04-03 19:00:00+00:00,1985.025,9998385.16187676,-1,-1,-4785,9498344.625,0.9499878701629354
2023-04-03 20:00:00+00:00,1984.295,9998385.16187676,-1,-1,-4786,9496835.870000001,0.9498369702950495
2023-04-03 22:00:00+00:00,1983.798,9998385.16187676,-1,-1,-4788,9498424.824,0.9499958913582285
2023-04-03 23:00:00+00:00,1984.848,9998385.16187676,-1,-1,-4785,9497497.68,0.9499031619839358
2023-04-04 00:00:00+00:00,1982.765,9998385.16187676,-1,-1,-4790,9497444.35,0.9498978281226035
2023-04-04 01:00:00+00:00,1978.124,9998385.16187676,-1,-1,-4801,9496973.324000001,0.9498507179150677
2023-04-04 02:00:00+00:00,1980.725,9998385.16187676,-1,-1,-4795,9497576.375,0.9499110327549378
2023-04-04 03:00:00+00:00,1978.045,9998385.16187676,-1,-1,-4801,9496594.045,0.9498127838893364
2023-04-04 04:00:00+00:00,1979.625,9998385.16187676,-1,-1,-4798,9498240.75,0.9499774809852514
2023-04-04 05:00:00+00:00,1978.695,9998385.16187676,-1,-1,-4800,9497736.0,0.9499269978330396
2023-04-04 06:00:00+00:00,1981.448,9998385.16187676,-1,-1,-4793,9497080.264,0.9498614136422544
2023-04-04 07:00:00+00:00,1982.085,9998385.16187676,-1,-1,-4792,9498151.32,0.9499685365408684
2023-04-04 08:00:00+00:00,1980.595,9998385.16187676,-1,-1,-4795,9496953.025,0.9498486876872186
2023-04-04 09:00:00+00:00,1982.905,9998385.16187676,-1,-1,-4790,9498114.95,0.9499648989534569
2023-04-04 10:00:00+00:00,1982.075,9998385.16187676,-1,-1,-4792,9498103.4,0.9499637437669131
2023-04-04 11:00:00+00:00,1981.905,9998385.16187676,-1,-1,-4792,9497288.76,0.949882266609671
2023-04-04 12:00:00+00:00,1983.475,9998385.16187676,-1,-1,-4788,9496878.299999999,0.9498412139803358
2023-04-04 13:00:00+00:00,1992.298,9998385.16187676,-1,-1,-4767,9497284.566,0.9498818471419338
2023-04-04 14:00:00+00:00,2015.995,9998385.16187676,-1,-1,-4711,9497352.445,0.9498886361382468
2023-04-04 15:00:00+00:00,2020.145,9998385.16187676,-1,-1,-4701,9496701.645,0.9498235456271829
2023-04-04 16:00:00+00:00,2020.655,9998385.16187676,-1,-1,-4700,9497078.5,0.949861237213764
2023-04-04 17:00:00+00:00,2018.204,9998385.16187676,-1,-1,-4706,9497668.024,0.9499201991351599
2023-04-04 18:00:00+00:00,2021.145,9998385.16187676,-1,-1,-4699,9497360.355,0.9498894272660012
2023-04-04 19:00:00+00:00,2021.748,9998385.16187676,-1,-1,-4698,9498172.104,0.9499706152765506
2023-04-04 20:00:00+00:00,2019.875,9998385.16187676,-1,-1,-4702,9497452.25,0.9498986182501963
2023-04-04 22:00:00+00:00,2020.408,9998385.16187676,-1,-1,-4701,9497938.008,0.9499472018956685
2023-04-04 23:00:00+00:00,2021.755,9998385.16187676,-1,-1,-4698,9498204.99,0.949973904407692
2023-04-05 00:00:00+00:00,2019.354,9998385.16187676,-1,-1,-4703,9497021.862,0.9498555724990043
2023-04-05 01:00:00+00:00,2020.408,9998385.16187676,-1,-1,-4701,9497938.008,0.9499472018956685
2023-04-05 02:00:00+00:00,2023.855,9998385.16187676,-1,-1,-4693,9497951.515,0.9499485528138201
2023-04-05 03:00:00+00:00,2022.975,9998385.16187676,-1,-1,-4695,9497867.625,0.9499401624589136
2023-04-05 04:00:00+00:00,2023.198,9998385.16187676,-1,-1,-4694,9496891.412,0.9498425253921078
2023-04-05 05:00:00+00:00,2024.148,9998385.16187676,-1,-1,-4692,9497302.416,0.9498836324302289
2023-04-05 06:00:00+00:00,2024.325,9998385.16187676,-1,-1,-4692,9498132.9,0.9499666942433672
2023-04-05 07:00:00+00:00,2025.325,9998385.16187676,-1,-1,-4689,9496748.925,0.9498282743908018
2023-04-05 08:00:00+00:00,2023.955,9998385.16187676,-1,-1,-4693,9498420.815,0.9499954903934793
2023-04-05 09:00:00+00:00,2024.455,9998385.16187676,-1,-1,-4691,9496718.405,0.9498252218978734
2023-04-05 10:00:00+00:00,2022.205,9998385.16187676,-1,-1,-4697,9498296.885,0.9499830953918872
2023-04-05 11:00:00+00:00,2022.885,9998385.16187676,-1,-1,-4695,9497445.075,0.9498979006343129
2023-04-05 12:00:00+00:00,2031.465,9998385.16187676,-1,-1,-4675,9497098.875,0.9498632750428404
2023-04-05 13:00:00+00:00,2022.608,9998385.16187676,-1,-1,-4696,9498167.168,0.9499701215968293
2023-04-05 14:00:00+00:00,2018.645,9998385.16187676,-1,-1,-4705,9497724.725,0.9499258701509371
2023-04-05 15:00:00+00:00,2021.578,9998385.16187676,-1,-1,-4698,9497373.444,0.9498907363774014
2023-04-05 16:00:00+00:00,2021.265,9998385.16187676,-1,-1,-4699,9497924.235000001,0.9499458243732212
2023-04-05 17:00:00+00:00,2020.915,9998385.16187676,-1,-1,-4700,9498300.5,0.949983456950273
2023-04-05 18:00:00+00:00,2022.954,9998385.16187676,-1,-1,-4695,9497769.03,0.9499303013665067
