action,position,equity
0,-1,10000000.0
0,-1,10000000.0
0,-1,10000000.0
0,-1,10000000.0
0,-1,10000000.0
0,-1,10000000.0
0,-1,10000000.0
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
0,-1,9998385.16187676
