action,position,equity
0,-1,1.0008894536953283
0,-1,1.004861895749342
0,-1,1.0052324551552898
0,-1,1.0048461709817895
0,-1,1.0042080051305704
0,-1,1.0037351282596083
0,-1,1.0000943228656056
0,-1,0.9981162952662006
0,-1,0.9978979462980839
0,-1,0.9947002793770939
0,-1,0.9915921325661653
0,-1,0.9914016834952618
0,-1,0.9929116651991553
0,-1,0.9878643773836061
0,-1,0.986904328555633
0,-1,0.9873759738283743
0,-1,0.9883648913208265
0,-1,0.9896759670779133
0,-1,0.9883029946550838
0,-1,0.9886664465945294
0,-1,0.9889140747062557
0,-1,0.9883906545906788
0,-1,0.9894279217937655
0,-1,0.9917438467697687
0,-1,0.9904398204572382
0,-1,0.9917799250749035
0,-1,0.9909877225306649
0,-1,0.9914532746336913
0,-1,0.9900738448251222
0,-1,0.9897555538383521
0,-1,0.9904995863976113
0,-1,0.9893443507009754
0,-1,0.989758468276493
0,-1,0.9898433585756025
0,-1,0.9890592372009839
0,-1,0.9846596507933789
0,-1,0.9729478086167312
0,-1,0.9709449596980784
0,-1,0.9706998377244348
0,-1,0.9718772704392044
0,-1,0.9704610156639876
0,-1,0.9701714827544509
0,-1,0.9710702748824506
0,-1,0.970814031077011
0,-1,0.9701667922520505
0,-1,0.971318944945229
0,-1,0.9708119658974879
0,-1,0.9691556722941915
0,-1,0.9695770745150121
0,-1,0.9694701944558827
0,-1,0.9690149761901802
0,-1,0.9689302414520159
0,-1,0.9684515978342905
0,-1,0.9691066920483218
0,-1,0.9688672828984028
0,-1,0.9699440919094806
0,-1,0.9696179321074335
0,-1,0.965505329632512
0,-1,0.9697148438031007
0,-1,0.9716148560279073
0,-1,0.9702031435312922
0,-1,0.9703533596416403
0,-1,0.9705213849504812
0,-1,0.9695421784504978
0,-1,0.9705146182984014
0,-1,0.9708651882954858
0,-1,0.97083971755876
0,-1,0.9708796036007497
0,-1,0.9724304811185857
0,-1,0.9745533085968547
0,-1,0.9753474649350546
0,-1,0.9751680032714541
0,-1,0.9740576897486256
0,-1,0.9730906730434412
0,-1,0.9740219762525345
0,-1,0.9727483528800233
0,-1,0.9722659005585049
0,-1,0.9712021839478718
0,-1,0.970841493548206
0,-1,0.9716968964922074
0,-1,0.9744168688793196
0,-1,0.9789128331583071
0,-1,0.9748574377872044
0,-1,0.9752174734748209
0,-1,0.9749701600440733
0,-1,0.9757698860107077
0,-1,0.9761534137767817
0,-1,0.977502646915615
0,-1,0.9774402846839357
0,-1,0.9814889282789793
0,-1,0.9820930982958613
0,-1,0.984999637672921
0,-1,0.98508868725029
0,-1,0.9844800717702712
0,-1,0.983323647756144
0,-1,0.9826629759862299
0,-1,0.9818953609334993
0,-1,0.9819145336419849
0,-1,0.9803221534367221
