side,entry_time,exit_time,entry_price,exit_price,holding_bars,net_return_pct,equity_after,mfe_pct,mae_pct
short,2020-01-01 23:00:00,2020-02-04 14:00:00,1518.625,1555.195,536,-2.81838262110391,0.9714528085285676,0.0,-5.284583093258699
long,2020-02-04 14:00:00,2020-02-06 14:00:00,1555.195,1563.295,47,0.25737970392778475,0.9756862298945795,0.7480090921074156,-0.41988303717540587
short,2020-02-06 14:00:00,2020-02-06 15:00:00,1563.295,1565.465,2,0.05139202377235641,0.9767474616683053,0.0,-0.13880937379060487
long,2020-02-06 15:00:00,2020-02-06 16:00:00,1565.465,1565.198,2,0.09580416465733155,0.9766209779368066,0.0,-0.0170556352265816
short,2020-02-06 16:00:00,2020-02-28 15:00:00,1565.198,1589.995,361,-1.0171169366588906,0.9668127978072911,0.18099946460448102,-7.7702629315907545
long,2020-02-28 15:00:00,2020-03-02 09:00:00,1589.995,1609.348,17,1.5575464612697543,0.9782435069137556,1.217173638910829,-1.004845927188447
long,2020-03-02 12:00:00,2020-03-03 05:00:00,1595.648,1595.028,17,-0.0010397010682505758,0.9782333361055642,0.27637674474572105,-0.6348517968875256
long,2020-03-03 06:00:00,2020-03-03 13:00:00,1594.918,1606.665,8,0.6111779052345723,0.9842120821174805,0.7365268935456193,0.0
short,2020-03-03 15:00:00,2020-03-12 12:00:00,1639.818,1596.925,158,0.3629373842867878,0.9877841557041522,2.6157171100695376,-3.7241937824807447
long,2020-03-12 12:00:00,2020-03-24 01:00:00,1596.925,1578.265,170,-2.7111382560145336,0.9692744001253958,0.0,-8.854517275388629
short,2020-03-24 01:00:00,2020-03-31 20:00:00,1578.265,1575.558,133,-0.40432343560954376,0.9689699277187555,0.8760886162970105,-3.7543124887138735
long,2020-03-31 20:00:00,2020-04-01 02:00:00,1575.558,1584.328,6,0.28080552905171974,0.9722230397109253,0.5566281914090032,0.0
short,2020-04-01 02:00:00,2020-04-30 20:00:00,1584.328,1688.938,471,-6.298455515260626,0.9121275095728847,0.2063966552380503,-9.66510722527154
long,2020-04-30 20:00:00,2020-04-30 22:00:00,1688.938,1687.855,2,0.17847823674108643,0.912438580612266,0.0,-0.06412313536672265
short,2020-04-30 22:00:00,2020-05-01 05:00:00,1687.855,1676.315,8,1.169688351464493,0.9227965588028618,0.9222948653764718,-0.07820577004540308
long,2020-05-01 05:00:00,2020-05-01 15:00:00,1676.315,1697.338,11,1.3488736809903479,0.9332771718289707,1.2541198998994751,-0.24798441820302886
short,2020-05-01 16:00:00,2020-05-06 15:00:00,1697.208,1686.378,67,0.24627230181104576,0.9355755750023109,0.6381068201422702,-0.7655514232786986
long,2020-05-06 15:00:00,2020-05-07 10:00:00,1686.378,1695.658,19,0.20453136002591688,0.9393608562820631,0.5502918088352571,-0.08835504258238869
short,2020-05-07 12:00:00,2020-05-11 15:00:00,1697.318,1697.068,48,0.027334680933233102,0.9396176275749395,0.0653972914916312,-1.4246004578988725
long,2020-05-11 15:00:00,2020-05-12 04:00:00,1697.068,1701.225,13,0.04225815539244948,0.9401455202042086,0.24495188171598237,-0.04672765027682324
short,2020-05-12 04:00:00,2020-05-26 15:00:00,1701.225,1712.305,234,-1.0665353571359448,0.9311354960190764,0.10933298064629282,-3.6920454378462697
long,2020-05-26 15:00:00,2020-05-28 05:00:00,1712.305,1718.418,37,0.2282826862930909,0.9344696476305541,0.3725971716487253,-0.7911557812422476
short,2020-05-28 05:00:00,2020-06-03 09:00:00,1718.418,1719.045,95,0.02281414102816015,0.934818102616963,0.33228236668841893,-1.5170930472097055
long,2020-06-03 09:00:00,2020-06-03 11:00:00,1719.045,1709.148,3,0.19297071826900325,0.9363106688473771,0.17469001684073948,-0.5757266389187166
long,2020-06-03 12:00:00,2020-06-09 14:00:00,1705.755,1716.015,93,0.6201243528028977,0.9421169593227914,0.7675779933225879,-1.799203285348716
short,2020-06-09 14:00:00,2020-06-15 12:00:00,1716.015,1707.955,89,0.5911580459489807,0.9467293953161954,0.5104850482076206,-1.5978881303485126
long,2020-06-15 12:00:00,2020-06-15 16:00:00,1707.955,1722.225,5,0.7660588986331707,0.9538770767282798,0.8355021063201296,0.0
short,2020-06-15 18:00:00,2020-08-11 13:00:00,1726.065,1949.705,919,-11.238772795482255,0.8466729993266006,0.6367083510759985,-19.933374467357833
long,2020-08-11 13:00:00,2020-08-12 09:00:00,1949.705,1932.248,20,-0.6069179175102635,0.8388868543465204,0.0,-3.5629492666839235
long,2020-08-12 19:00:00,2020-08-13 00:00:00,1915.138,1936.868,5,1.167386146488325,0.8486799032688733,1.1346440830895643,0.0
short,2020-08-13 02:00:00,2020-08-19 19:00:00,1935.208,1928.488,108,-0.885772008575092,0.8411625342433154,0.5091442366918719,-4.029024270259329
long,2020-08-19 19:00:00,2020-08-20 19:00:00,1928.488,1946.668,24,0.5917967641403399,0.8514930123289653,1.2433056363327033,-0.04770576741986998
long,2020-08-21 07:00:00,2020-08-24 10:00:00,1934.495,1950.025,25,0.43457941989406557,0.8551934257223831,0.8027934939092818,-0.9603023011173439
long,2020-08-24 12:00:00,2020-08-26 19:00:00,1937.938,1953.938,54,0.12798314444533165,0.8562879291597123,0.8256198082704502,-1.3629434997404433
short,2020-08-26 23:00:00,2020-08-27 01:00:00,1950.045,1941.035,3,0.29666382006818814,0.8588282256411404,0.4620406195754434,0.0
long,2020-08-27 01:00:00,2020-08-28 09:00:00,1941.035,1957.658,32,0.5737663518986968,0.865252562083452,0.8563987769411696,-1.0999286463149849
short,2020-08-28 11:00:00,2020-09-02 12:00:00,1955.205,1948.965,69,-0.18752601797167312,0.863629988408379,0.319148120018109,-1.8775524817090883
long,2020-09-02 13:00:00,2020-09-09 13:00:00,1943.055,1945.398,110,-0.1141197345867262,0.862644416157796,0.2451294482142874,-1.540203442517074
short,2020-09-09 15:00:00,2020-09-17 08:00:00,1948.248,1941.188,130,-0.34618394017472687,0.8596580797282436,0.4783785226521453,-1.1487243923771429
long,2020-09-17 08:00:00,2020-09-17 19:00:00,1941.188,1943.718,12,0.12322155280859448,0.8625887760868918,0.35596758273799267,-0.05202999400366615
long,2020-09-17 20:00:00,2020-09-17 23:00:00,1945.928,1950.898,3,0.1397290351740743,0.8637940630612378,0.25540513318065283,0.0
short,2020-09-18 01:00:00,2020-09-21 09:00:00,1951.888,1931.505,30,1.012510034007974,0.8725400646228981,1.0442709827612973,-0.35145459165690784
long,2020-09-21 09:00:00,2020-10-01 15:00:00,1931.505,1908.368,189,-1.1346290603919895,0.8629479835805118,0.07144687691722496,-4.14443659219107
long,2020-10-01 16:00:00,2020-10-01 18:00:00,1906.255,1903.738,3,0.31452171622246006,0.8656621423885764,0.16944217851231347,-0.13203899793049478
