window,first,last,bars,buyhold_return_pct,ann_vol_pct,up_bar_frac,down_bar_frac,buyhold_max_dd_pct
train,2003-05-05 00:00:00+00:00,2019-12-31 00:00:00+00:00,100162,345.77868225717276,17.830761130410515,0.5041383372769841,0.49391479717654574,-45.24969079346671
eval,2020-01-01 23:00:00+00:00,2026-06-24 00:00:00+00:00,37735,169.84755826475268,18.086761939977126,0.5115545661737425,0.4875973922722213,-27.264771106171104
